location_id,name,type,location,address,status,food_items,latitude,longitude
1569152,Datam SF LLC dba Anzu To You,Truck,TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599),2535 TAYLOR ST,APPROVED,Asian Fusion - Japanese Sandwiches/Sliders/Misubi,37.805885350101000,-122.41594524663700
1569145,Casita Vegana,Truck,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,APPROVED,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188970870840,-122.4925212449950
1565593,MOMO INNOVATION LLC,Truck,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,APPROVED,Noodles: Meat & Drinks,37.792870749741500,-122.4007474940770
1565571,MOMO INNOVATION LLC,Truck,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,APPROVED,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.792948952834700,-122.39809861316700
1565954,Treats by the Bay LLC,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,APPROVED,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,37.78924953407510,-122.40241859729400
1565594,MOMO INNOVATION LLC,Truck,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,APPROVED,Noodles: Meat & Drinks,37.7865580501799,-122.40103337535000
1565628,Treats by the Bay LLC,Truck,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,APPROVED,Prepackaged Kettlecorn,37.78561008636920,-122.40815476434500
1565413,MOMO INNOVATION LLC,Truck,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,APPROVED,Noodles,37.79092150726920,-122.4001004237390
1047831,The Chef Station,Truck,10TH ST: FELL ST \ MARKET ST \ POLK ST to STEVENSON ST (1 - 18),8 10TH ST,REQUESTED,South American/Peruvian food,37.7758255197583,-122.41724962664300
1565625,Treats by the Bay LLC,Truck,MARKET ST: DOLORES ST to 14TH ST (2001 - 2065) -- SOUTH --,2029 MARKET ST,APPROVED,Donuts: Soft Serve Ice Cream: Coffee: Sandwiches: Drinks,37.76831005955340,-122.4274165153560
1565414,MOMO INNOVATION LLC,Truck,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,APPROVED,Noodles,37.78844615690130,-122.3986412420390
1565623,Treats by the Bay LLC,Truck,HOWARD ST: MALDEN ALY to 02ND ST (574 - 599),201 02ND ST,APPROVED,Prepackaged Kettlecorn,37.78680165059710,-122.39787163500300
1577123,El Calamar Perubian Food Truck,Truck,MISSION ST: ANTHONY ST to 02ND ST (573 - 599),85 02ND ST,REQUESTED,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,37.788457028828900,-122.3998841605660
1577179,BH & MT LLC,Truck,16TH ST: SPENCER ST to DOLORES ST (3220 - 3299),3253 16TH ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.764459521442400,-122.42516137635800
1577113,"BOWL'D ACAI, LLC.",Truck,LARKIN ST: FULTON ST to MCALLISTER ST (200 - 299),200 LARKIN ST,APPROVED,Acai Bowls: Smoothies: Juices,37.78021548028810,-122.41602577015100
1577178,BH & MT LLC,Truck,GROVE ST: BRODERICK ST to BAKER ST (1400 - 1499),1477 GROVE ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.77529014231950,-122.4407311621110
1577204,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,STOCKTON ST: 04TH ST \ ELLIS ST \ MARKET ST intersection,800 MARKET ST,REQUESTED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.,37.785469746489900,-122.40661576107300
1577206,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,STOCKTON ST: OFARRELL ST to GEARY ST (100 - 199),101 STOCKTON ST,REQUESTED,Soft Pretzels: hot dogs: sausage: chips: popcorn: soda: espresso: cappucino: pastries: ice cream: italian sausages: shish-ka-bob: churros: juice: water: various drinks,37.786856111883100,-122.40689189299700
1577177,BH & MT LLC,Truck,GROVE ST: SCOTT ST to DIVISADERO ST (1200 - 1299),1265 GROVE ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.775774368410300,-122.43733160784100
1577112,"BOWL'D ACAI, LLC.",Truck,BATTERY ST: PINE ST to CALIFORNIA ST (100 - 199),111 BATTERY ST,APPROVED,Acai Bowls: Smoothies: Juices,37.79236678688310,-122.40014830676700
1577174,BH & MT LLC,Truck,PRESIDIO AVE: POST ST to GEARY BLVD (900 - 999),949 PRESIDIO AVE,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.783922070111500,-122.44672163317200
1577205,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,REQUESTED,Soft pretzels: hot dogs: sausages: chips: popcorn: soda: espresso: cappucino: pastry: ica cream: ices: italian sausage: shish-ka-bob: churros: juice: water: various drinks,37.78511092044780,-122.40742266827700
1577173,BH & MT LLC,Truck,OTIS ST: GOUGH ST \ MCCOPPIN ST to 13TH ST \ DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST (100 - 199),170 OTIS ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,0,0
1577114,"BOWL'D ACAI, LLC.",Truck,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,APPROVED,Acai Bowls: Smoothies: Juices,37.79357693326180,-122.40322987670100
1577176,BH & MT LLC,Truck,DOLORES ST: 14TH ST intersection,2001 MARKET ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.768320249510600,-122.42711064395500
1577175,BH & MT LLC,Truck,23RD ST: START: 100-699 BLOCK to ILLINOIS ST (100 - 699),401 23RD ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.755030726766700,-122.38453073422300
1571753,The Geez Freeze,Truck,18TH ST: DOLORES ST to CHURCH ST (3700 - 3799),3750 18TH ST,REQUESTED,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris,37.76201920035650,-122.42730642251300
1577180,BH & MT LLC,Truck,MARKET ST: CHURCH ST to 15TH ST (2101 - 2195) -- SOUTH --,2145 MARKET ST,APPROVED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.7666247727157,-122.42951117634700
1577115,"BOWL'D ACAI, LLC.",Truck,BUCHANAN ST: NORTH POINT ST to BEACH ST \ LOWER FORT MASON ST \ MARINA BLVD (3700 - 3799),15 MARINA BLVD,APPROVED,Acai Bowls: Poke Bowls: Smoothies: Juices,37.80457786909010,-122.43301077434300
934719,"Santana ESG, Inc.",Truck,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,37.790485146128,-122.40094044069000
1509789,Plaza Garibaldy,Truck,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,EXPIRED,Tacos: burritos: quesadillas,37.792346385148,-122.40238532279400
934586,May Catering,Truck,TREAT AVE: MISTRAL ST to END: 650-699 BLOCK (630 - 699),630 TREAT AVE,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.75995142942790,-122.41404968022400
1336741,Quan Catering,Truck,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1575 BURKE AVE,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.744178447375700,-122.38671592975900
1337426,Liang Bai Ping,Truck,PALOU AVE: PALOU AVE to GRIFFITH ST (904 - 999),Assessors Block /Lot,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,0,0
848184,Reecees Soulicious,Truck,BAY SHORE BLVD: BAY SHORE BLVD to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,37.74530890865630,-122.40342005999900
1332942,Mini Mobile Food Catering,Truck,FREMONT ST: TRANSBAY HUMP to NATOMA ST (116 - 169),147 FREMONT ST,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,37.79018557063340,-122.39547172580900
1343831,Got Snacks,Push Cart,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL ST (1000 - 1099),1020 03RD ST,REQUESTED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,37.77551013804950,-122.39099930600200
934616,May Catering,Truck,DONNER AVE: START: 1600-1699 BLOCK to 03RD ST (1600 - 1699),1600 DONNER AVE,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.72400910654020,-122.3929867825780
934516,Scotch Bonnet,Truck,01ST ST: STEVENSON ST to JESSIE ST (21 - 56),50 01ST ST,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,37.790149073725500,-122.39865818460400
